entry_time,exit_time,direction,entry_price,sl,grade,score,exit_reason,tp_hits,pnl_usd,session
2025-10-14 17:30:00,2025-10-14 17:45:00,BUY,4149.48,4145.48,A,26,SL,,-20.0,NY
2025-10-16 12:15:00,2025-10-16 12:30:00,BUY,4238.55,4234.55,A+,28,SL,,-20.0,LN/NY
2025-10-22 09:00:00,2025-10-22 09:15:00,SELL,4074.9,4078.9,A+,36,SL,,-20.0,London
2025-10-22 11:15:00,2025-10-22 11:30:00,SELL,4019.75,4023.75,A+,31,SL,,-20.0,London
2025-10-27 13:45:00,2025-10-27 14:00:00,SELL,4021.46,4021.26,A+,33,TP5,"1,2,3,4,5",60.0,LN/NY
2025-10-27 14:15:00,2025-10-27 14:45:00,SELL,3998.11,3997.9100000000003,A+,33,SL@BE,"1,2,3",24.4,LN/NY
2025-10-27 15:00:00,2025-10-27 15:15:00,SELL,3978.11,3982.11,A+,33,SL,,-20.0,LN/NY
2025-10-27 17:15:00,2025-10-27 17:45:00,SELL,4004.6,4004.4,A+,31,SL@BE,1,4.8,NY
2025-10-27 18:00:00,2025-10-27 19:15:00,SELL,4008.86,4008.6600000000003,A+,31,TP5,"1,2,3,4,5",60.0,NY
2025-10-28 07:00:00,2025-10-28 07:30:00,SELL,3945.89,3945.69,A+,31,TP5,"1,2,3,4,5",60.0,London
2025-10-28 07:45:00,2025-10-28 08:15:00,SELL,3931.81,3931.61,A+,31,TP5,"1,2,3,4,5",60.0,London
2025-10-28 08:30:00,2025-10-28 08:45:00,SELL,3904.92,3908.92,A+,31,SL,,-20.0,London
2025-10-28 10:45:00,2025-10-28 11:30:00,SELL,3925.96,3925.76,A+,31,SL@BE,"1,2,3",24.4,London
2025-10-28 12:30:00,2025-10-28 13:00:00,SELL,3915.61,3915.4100000000003,A+,33,SL@BE,"1,2",12.6,LN/NY
2025-10-28 13:15:00,2025-10-28 13:45:00,SELL,3931.98,3931.78,A+,33,SL@BE,"1,2,3,4",40.2,LN/NY
2025-10-29 14:30:00,2025-10-29 14:45:00,SELL,4009.72,4013.72,A,25,SL,,-20.0,LN/NY
2025-10-29 16:45:00,2025-10-29 17:00:00,SELL,3992.24,3996.24,A+,36,SL,,-20.0,NY
2025-10-31 16:15:00,2025-10-31 16:30:00,SELL,3985.39,3989.39,A,27,SL,,-20.0,NY
2025-10-31 18:30:00,2025-10-31 19:00:00,SELL,4003.38,4003.1800000000003,A,26,SL@BE,1,4.8,NY
2025-11-03 10:30:00,2025-11-03 11:00:00,SELL,3997.41,4001.41,A+,31,SL,,-20.0,London
2025-11-03 18:15:00,2025-11-03 18:30:00,SELL,4000.82,4004.82,A,27,SL,,-20.0,NY
2025-11-06 08:00:00,2025-11-06 09:45:00,BUY,4009.12,4009.3199999999997,B,22,SL@BE,1,4.8,London
2025-11-06 11:00:00,2025-11-06 12:30:00,BUY,4009.94,4010.14,A,26,SL@BE,"1,2",12.6,London
2025-11-06 14:15:00,2025-11-06 14:30:00,SELL,3991.34,3995.34,A,24,SL,,-20.0,LN/NY
2025-11-06 16:30:00,2025-11-06 16:45:00,SELL,3978.7,3982.7,A,27,SL,,-20.0,NY
2025-11-07 07:45:00,2025-11-07 08:15:00,BUY,4007.91,4003.91,A,26,SL,,-20.0,London
2025-11-07 12:15:00,2025-11-07 13:00:00,SELL,3997.88,3997.6800000000003,A+,29,SL@BE,1,4.8,LN/NY
2025-11-10 19:15:00,2025-11-10 19:30:00,BUY,4114.55,4110.55,A+,31,SL,,-20.0,NY
2025-11-11 10:30:00,2025-11-11 11:00:00,BUY,4139.56,4139.76,A+,31,SL@BE,1,4.8,London
2025-11-12 10:00:00,2025-11-12 10:15:00,BUY,4125.66,4121.66,A,27,SL,,-20.0,London
2025-11-13 10:15:00,2025-11-13 10:30:00,BUY,4235.03,4231.03,A+,31,SL,,-20.0,London
2025-11-18 17:30:00,2025-11-18 18:00:00,BUY,4073.14,4069.14,A,27,SL,,-20.0,NY
2025-11-19 07:00:00,2025-11-19 07:45:00,BUY,4087.39,4087.5899999999997,A,27,SL@BE,"1,2",12.6,London
2025-11-19 11:45:00,2025-11-19 12:15:00,BUY,4113.03,4113.23,A+,31,SL@BE,1,4.8,London
2025-11-19 12:30:00,2025-11-19 12:45:00,BUY,4117.45,4113.45,A+,33,SL,,-20.0,LN/NY
2025-11-19 17:45:00,2025-11-19 18:00:00,SELL,4078.31,4082.31,B,22,SL,,-20.0,NY
2025-11-20 17:45:00,2025-11-20 18:00:00,SELL,4065.64,4069.64,A,26,SL,,-20.0,NY
2025-11-21 15:15:00,2025-11-21 15:30:00,BUY,4069.1,4065.1,A,24,SL,,-20.0,LN/NY
2025-11-21 19:15:00,2025-11-21 19:30:00,BUY,4090.65,4086.65,A+,31,SL,,-20.0,NY
2025-11-24 09:00:00,2025-11-24 09:15:00,BUY,4072.16,4068.16,A+,31,SL,,-20.0,London
2025-11-24 12:30:00,2025-11-24 13:00:00,BUY,4079.06,4079.2599999999998,A+,33,SL@BE,1,4.8,LN/NY
2025-11-25 16:15:00,2025-11-25 16:30:00,BUY,4140.56,4136.56,A,27,SL,,-20.0,NY
2025-11-26 19:00:00,2025-11-26 19:30:00,BUY,4166.88,4162.88,A+,31,SL,,-20.0,NY
2025-11-27 09:30:00,2025-11-27 10:15:00,BUY,4157.53,4153.53,A,27,SL,,-20.0,London
2025-12-01 09:30:00,2025-12-01 09:45:00,BUY,4247.5,4243.5,A+,31,SL,,-20.0,London
2025-12-03 15:15:00,2025-12-03 15:45:00,BUY,4221.9,4222.099999999999,A+,29,SL@BE,1,4.8,LN/NY
2025-12-03 16:00:00,2025-12-03 16:15:00,BUY,4219.45,4215.45,A+,31,SL,,-20.0,NY
2025-12-04 11:30:00,2025-12-04 12:00:00,BUY,4200.31,4196.31,B,22,SL,,-20.0,London
2025-12-04 15:45:00,2025-12-04 16:30:00,BUY,4207.45,4207.65,A+,29,SL@BE,"1,2",12.6,LN/NY
2025-12-04 16:45:00,2025-12-04 17:00:00,BUY,4215.77,4211.77,A,27,SL,,-20.0,NY
2025-12-05 07:00:00,2025-12-05 07:45:00,BUY,4227.41,4223.41,A,27,SL,,-20.0,London
